word,definition,frequency
rabble,mob crowd the lower classes of populace,4
raconteur,person who tells anecdotes,2
raffish,low vulgar base tawdry,5
ramify,to be divided or subdivided to branch out,2
rancorous,feeling bitterness spitefulness,4
rant,use extravagant language,2
rapacious,greedy (esp for money),6
rarefy,to make thin to make less dense to purify or refine,3
rave,act with excessive enthusiasm,2
reactionary,opposing progress,2
rebuff,snub,2
recalcitrant,disobedient,4
recant,take back as being FALSE give up,2
recast,cast or fashion anew,2
recidivism,relapse into antisocial or criminal behavior,2
reciprocity,granting of privileges in return for similar,2
recitals,a number of performance of music,2
recluse,person who lives alone and avoids people,4
recompense,make payment to reward punish,4
reconcile,settle a quarrel restore peace,5
recondite,little known abstruse,6
recreancy,cowardice a cowardly giving up,2
recuperate,become strong after illness loss exhaustion,2
redeem,get back by payment compensate,2
redoubtable,formidable causing fear,4
refine,make or become pure cultural,4
refractory,stubborn unmanageable untractable,4
refulgent,shining brilliant,5
regale,to delight or entertain to feast,4
regicide,crime of killing a king,2
reiterate,say or do again several times,2
rejuvenation,becoming young in nature or appearance,2
relapse,fall back again,4
remonstrate,to protest object,2
render,deliver provide represent,2
renovate,restore smth to better condition,2
renowned,celebrated famous,6
repast,meal,2
repel,refuse to accept/cause dislike,2
repine,at be discontented with,2
reproach,scold upbraid,10
reprobate,person hardened in sin one devoid of decency,2
repudiate,disown refuse to accept or pay,5
repulsive,causing a feeling of disgust,4
requite,repay give in return,2
rescind,repeal/annul/cancel,2
resigned,unresisting submissive,2
resilience,quality of quickly recovering the original shape,2
resort,to frequently visit,5
restive,refusing to move reluctant to be controlled,2
resuscitation,coming back to consciousness,2
retard,check hinder,2
reticent,reserved untalkative silent taciturn,8
revere,have deep respect for,2
reverent,feeling or showing deep respect,2
riddle,puzzling person or thing,4
rift,split crack dissension,2
rivet,fix take up secure metal pin,2
roll,call calling of names,10
rotund,rich and deep plump and round,2
ruffian,violent cruel man,2
rumple,make rough,2
sagacious,having sound judgment perceptive wise like a sage,2
salacious,obscene,3
salubrious,healthful,3
salutary,remedial wholesome causing improvement,6
sanctimony,self-righteousness hypocritical with FALSE piety,2
sanction,approval (by authority) penalty,5
sanguine,cheerful confident optimistic,13
sanity,health of mind soundness of judgement,2
sash,long strip worn round the waist,2
satiate,satisfy fully,4
saturnine,gloomy dark sullen morose,6
savant,person of great learning,2
savor,taste flavor smth,2
sawdust,tiny bits of wood,2
scabbard,sheath for the blade,2
scent,smell (esp pleasant),6
scorch,become discolored/dry up/go at high speed,2
scribble,write hastily,2
scurvy,mean contemptible,2
secular,material (not spiritual) living outside monasteries,2
sedulous,persevering,8
seminal,like a seed constituting a source originative,3
sententious,short and pithy full of maxims/proverbs,4
sequence,succession connected line of,39
sere,make hard and without feeling,2
sermon,reproving a person for his faults,4
serrated,having a toothed edge,2
serration,having a toothed edge,2
servile,like a slave lacking independence,2
sever,break off,2
severance,severing,2
shallow,little depth not earnest,4
shard,piece of broken earthenware,2
sheath,cover for the blade of a weapon or a tool,4
shrewd,astute showing sound judgement,2
shrill,sharp piercing,2
shun,keep away from avoid,2
shunt,send from one track to another lay aside evade discussion,2
sidestep,step to one side,2
simper,(give a) silly/self-conscious smile,2
sinuous,winding undulating serpentine,2
skiff,small boat,2
skit,short piece of humorous writing,2
slack,sluggish dull not tight,2
slake,to assuage to satisfy allay,2
slate,king of blue-grey stone propose criticize,2
sluggard,lazy slow-moving person,2
slur,join sounds/words (indistinct),2
smolder,burn slowly without flame,2
snare,trap,3
snub,treat with contempt,4
soar,rise fly high,2
sober,self-controlled,7
sobriety,quality or condition of being sober,2
sodden,soaked saturated,2
soggy,heavy with water,2
solvent,of the power of forming a solution,4
somatic,of the body,2
soot,black powder in smoke,2
sophisticated,complex subtle refined,13
sophistry,fallacious reasoning faulty logic,2
sophomoric,self-assured though immature affected bombastic overblown,2
soporific,producing sleep,2
sordid,wretched comfortless contemptible,2
spear,weapon with a metal point on a long shaft,2
specious,illogical of questionable truth or merit,7
splenetic,bad-tempered irritable,4
splice,join (two ends),3
sponge,porous rubber for washing live at once expense,2
spurious,FALSE counterfeit,4
spurn,have nothing to do reject or refuse,2
squalid,foul filthy,2
squander,spend wastefully,4
squat,crouch/settle without permission,2
stanch,to stop the flow of a fluid,2
steeply,rising or falling sharply,4
stentorian,extremely loud and powerful,2
stickler,person who insists on importance of smth,2
stigma,mark of shame or disgrace,2
stigmatize,describe smb scornfully,2
sting,smth sharp,2
stingy,spending using unwillingly,5
stint,to be thrifty to set limits,2
stipple,paint with dots,2
stipulate,state or put forward as a necessary condition,3
stolid,showing no emotion impassive,3
stray,wander lose one's way,9
streak,long thin move very fast,2
striated,striped grooved or banded,2
stride,walk with long steps,4
strut,a supporting bar,2
stygian,hence dark gloomy,5
stymie,to hinder obstruct or block,2
subdue,overcome bring under control,6
sublime,extreme astounding,2
submerge,put under water liquid sink out of sight,2
suborn,induce by bribery or smth to commit perjury,2
subpoena,written order requiring a person to appear in a low court,2
substantiation,giving facts to support (statement),2
subsume,include under a rule,2
succor,assistance relief in time of distress,2
suffice,be enough,3
suffocate,cause or have difficulty in breathing,2
sullied,to be stained or discredited,2
summarily,briefly without delay,2
sumptuous,magnificent,2
sundry,various miscellaneous separate,2
supercilious,disdainful characterized by haughty scorn,6
superfluous,more then is needed or wanted,2
superimpose,put smth on the top,2
supersede,take the place of,3
supine,lying on the back slow to act passive,3
suppliant,asking humbly beseeching,2
supplicate,make a humble petition to,2
suppress,prevent from being known put an end to,4
surcharge,additional load/charge,2
surfeit,satiate feed to fulness or to excess,6
susceptibility,sensitiveness,2
swerve,change direction suddenly,2
sycophant,person who flatter to the rich and powerful,2
synopsis,summary or outline,3
taciturn,untalkative silent,10
tadpole,form of a frog when it leaves the egg,2
talon,claw of a bird of prey,2
tamp,tap or drive down by repeated light blows,2
tamper,interfere with,2
tangential,suddenly changeable,7
tarnished,lost brightness,2
tassel,bunch of threads,2
taunt,contemptuous reproach hurtful remark,2
taut,tightly stretched,2
tautology,a repetition a redundancy,2
tawdry,cheap gaudy showy tacky,5
teetotal,oppose to alcohol,2
temerity,boldness brashness intrepidness,2
temperance,abstinence from alcohol self-control moderation,3
temperate,showing self-control,2
tenacity,firmness persistency adhesiveness tending to hang on,3
tenuous,insubstantial flimsy weak,8
tepid,lukewarm,2
terse,brief and to the point,2
testiness,witness/evidence,2
thrift,care economy thriving prosperous,2
thwart,obstruct/frustrate,3
timid,shy easily frightened,7
timorous,fearful timid afraid,5
toady,obsequious flatterer,2
tonic,smth giving strength or energy,4
topple,be unsteady and overturn,2
torment,severe pain or suffering,4
torpid,sleeping sluggish lethargic dormant,4
torque,twisting force causing rotation,2
tortuous,devious/not straightforward,9
tout,person who worries others to buy smth to use his service,7
tractable,easily controlled or guided,2
transgress,break go beyond (a limit),2
transient,temporary fleeting,9
transitory,brief,4
travesty,parody/imitation,2
trenchant,forceful effective vigorous extremely perceptive incisive,2
trepidation,alarm excited state of mind,6
trickle,flow in drops,2
trifling,unimportant,4
trite,not new,15
truce,(agreement) stop of fighting for a time,2
truculence,aggressiveness ferocity,2
trudge,walk heavily,2
turbid,muddy having the sediment stirred up,2
turbulence,being uncontrolled violent,2
turgid,excessively ornate swollen or bloated,2
turmoil,trouble disturbance,4
turpitude,wickedness shamefulness,2
turquoise,greenish-blue precious stone,2
tyro,tiro beginner,3
ubiquitous,present everywhere,11
ulterior,situated beyond,3
umbrage,offense resentment,5
uncouth,rough awkward,2
underbid,make a lower bid then smb else,2
undermine,weaken gradually at the base make smth under,6
undulate,to move in wavelike fashion fluctuate,2
unearth,discover and bring to light,2
unencumbered,easy-going trifle,4
unfeigned,not pretended sincere,2
unscathed,unharmed unhurt,2
untoward,unfortunate inconvenient,2
upbraid,scold reproach,4
urbane,elegant refined in manners,4
vacillation,being uncertain hesitating,3
vagary,strange act or idea,2
vain,without use result conceited,4
valiant,brave,2
valorous,brave,2
vanquish,conquer,2
veer,change direction,2
venal,ready to do smth dishonest,3
veneer,surface appearance covering the TRUE nature,2
veneration,regard with deep respect,3
veracity,truth,6
verdant,fresh and green,4
verisimilitude,appearing TRUE or real,2
veritable,real rightly named,5
verve,spirit vigor enthusiasm,2
vestige,trace or sign,2
vex,annoy distress trouble,3
vigilance,watchfulness self-appointed group who maintain order,4
vigilant,member of a vigilance committee,4
vigorous,strong energetic,5
vilify,slander say evil things,4
vindictive,having a desire to revenge,2
virago,a loud domineering woman a scold or nag,2
visceral,of the internal organs of the body,2
viscous,sticky/semi-fluid,2
vitiate,lower the quality weaken the strength,4
vituperate,curse abuse in words,3
vivacious,lively high-spirited,2
volatile,changeable inconstant fickle unstable explosive,7
volubility,fluency verbosity easy use of spoken language,4
voluble,fluent,3
waffle,talk vaguely and without much result,3
waft,scent waving movement carry lightly through,2
wag,merry person,2
warmonger,person who stirs up war,2
warrant,authority written order guarantee,4
wean,to turn away (from a habit),2
weigh,measure hoe heavy smth is,11
welter,turmoil a bewildering jumble,2
wend,to go proceed,2
whimsical,full of odd and fanciful ideas,2
wince,show bodily or mental pain,4
woo,try to win,2
writ,written order,3
yarn,tale story fibers for knitting,2
